text,labels,predictions,probabilities
Aquele momento que o gato preto volta pra não cruzar o seu caminho ,ironia,ironia,0.9999992487769694
"Marcelo Oliveira pode estar poupando Matheus Sales para encarar o Santos, de Lucas Lima. ",ironia,ironia,0.9999992096437472
São Paulo caindo de pé como um bom perdedor. ,ironia,ironia,0.9999992661790196
claro que foi....,ironia,ironia,0.9999992690399142
ciúme comigo é na base da .,ironia,ironia,0.9999992747282866
A  me ajudando a escolher tirar uma soneca depois do almoço do que assistir algo na  .IstoNãoFoiUmElogio ,ironia,ironia,0.999999283177952
Que pé lindo  askbelieber,ironia,ironia,0.9999992718896556
Felps é pouco feio!  Mtogato VMAs VoteDNCE,ironia,ironia,0.9999992633069276
"  A isso no Brasil, damos o nome de meritocracia"". """,ironia,ironia,0.9999992458367678
Copom reduz juros básicos da Economia ao menor nível em três anos .Veja mais detalhes no site.   Notícias,n_ironia,n_ironia,0.0012448433020883
 deixa de ser coxinha Arthur... kkkkkkkk É pra manifestar a favor da democracia... KKKKKKKKKKKKK ,ironia,ironia,0.9999992747282868
"Com inovação em serviços, Correios buscam saldo positivo em 2017  economia",n_ironia,n_ironia,0.0012448433020883
"Dá licença, vou ali tomar meu Chandon. ",ironia,ironia,0.9999992690399142
" por isso uso o hahaha"". """,ironia,ironia,0.9999992718896554
 10 motivos para não ir nos Jogos Paralímpicos: ,ironia,ironia,0.9999992096437474
Ia ser cá um show ui  ,ironia,ironia,0.9999992633069276
"LFV: A razão não está do lado de quem grita mais! De quem fala mais, de quem escreve mais!"" mindfucklampião paradoxo """,ironia,ironia,0.9999992775558508
Mais um sinal positivo da nossa economia:  exportação importação superávit ministério balança dólar déficit,n_ironia,n_ironia,0.0012448433020883
Que dia tao bom :) ,ironia,ironia,0.9999992718896554
"Economia INE confirma crescimento de 2,8%  Em ",n_ironia,n_ironia,0.0012448433020883
O Mercado sempre ferrando o Brasil. ,ironia,ironia,0.9999992803723916
"A música é tão horrível"" que estreou entre as 20 mais da  (18)... Por Favor.  """,ironia,ironia,0.9999992718896554
Tudo me acontece hj fogo ! Um ótimo primeiro dia de férias sem dúvida ! ,ironia,ironia,0.999999277555851
Este fim de semana foi um espetáculo ,ironia,ironia,0.9999992428850588
Parabéns   ,ironia,ironia,0.9999992517057082
Le sigarette e il fumo (n=365)drzap ridere umorismo humour humor battute freddure  buonumore,ironia,ironia,0.9999992718896554
Consulta ao IR começa nesta quinta-feira   ir impostoderenda economia folhape,n_ironia,n_ironia,0.0012472739770557
"mas o CUnha, Cabral, Eike... e alguns outros que ainda estão soltos... para pra tirar foto.... pessoas de bem.... ",ironia,ironia,0.9999992803723918
Nem senti   ,ironia,ironia,0.9999992517057082
Meu problema com o sono é que eu não consigo dormir e nem consigo acordar !! ,ironia,ironia,0.9999992718896556
PequenasInterrogações o acordo ortográfico já está em vigor não é? P.S. Aquilo foi  mas não levem a mal. ,ironia,ironia,0.9999992718896554
  teneis mas punteria que Bale !  ElHumor,ironia,ironia,0.9999992661790196
Esperando a marcelo lagos... velaton  tembleque tiriton... perdoncomiporotos,ironia,ironia,0.9999992718896556
" com certeza, o MPF será lembrado por ter levado Lula à cadeia....",ironia,ironia,0.9999992803723918
Nada me deixa mais feliz do que a velocidade da internet do escritório ,ironia,ironia,0.9999992428850588
RT @Gustavollei: Prévia do fim do mundo em São Paulo??,ironia,ironia,0.9999992633069276
  É série nova? Já tem legenda? ;) ,ironia,ironia,0.9999992633069276
" Ahhh tá, agora sim, tudo faz sentido. Poxa não gosto de livro velho u_ú ",ironia,ironia,0.999999277555851
Vão dizer que essa água é artificial ,ironia,ironia,0.9999992775558508
otimo amigo nao haja dúvida! ! ,ironia,ironia,0.9999992803723918
dumping! Obriguem a vender a preço de custo!  ,ironia,ironia,0.9999992690399142
"Esses dias vi um casal hétero na Praça. Nada contra, mas não sou obrigado a aturar certas coisas ",ironia,ironia,0.9999992690399142
Minhas falsianessss  calmaflor soieu   Casa da Vó Ana  ,ironia,ironia,0.9999992690399144
"Já estou começando a ficar preocupado, uma vez que, até agora o Alexandra Mattos não contratou ninguém. protesto acordamattos ",ironia,ironia,0.999999283177952
 desafio enorme!!! quase não tem lucro ,ironia,ironia,0.9999992859725744
Ironias desse mundo desigual... desigualdade  pobreza solidariedade fome ,ironia,ironia,0.9999992633069276
"Eu odeio corrupção, mas deixa eu só sonegar os meus impostos aqui. ;)  ",ironia,ironia,0.999999277555851
Agora só nos resta evoluir e fazer fotossíntese já que tudo que temos pra comer faz mal :(saude  sofrerpraque,ironia,ironia,0.9999992747282868
"Tão opotuna essa preocupação do STF (Gilmar Mendes) com o detento lá de Piauí,  que está há 11 anos preso provisoriamente. ",ironia,ironia,0.9999992718896556
E se esse jogo fosse pro terceiro set?  como sempre respeitando muito o cliente ,ironia,ironia,0.9999992775558508
Queria te beijar as vezes sempre . hahaha ,ironia,ironia,0.999999277555851
"tô morrendo de alergia"" se parece muito com ""tô morrendo de alegria"" """,ironia,ironia,0.9999992747282868
" Recomendado! Vídeo oficial de Ironía de  , tercer sencillo de CamaIncendiada.  ",ironia,ironia,0.9999992575289764
"Ai vc se mata pra chegar no fim do curso, pro coordenador inhônhô não deixar fazer estágio, que vida boa!",ironia,ironia,0.9999992859725744
O POBRE JÁ TÁ PROIBIDO DE ANDAR DE AVIÃO?  (tem que avisar né),ironia,ironia,0.9999992775558512
"Afinal o relacionamento"" dele é oq faz faz gente amar ele tanto não é  """,ironia,ironia,0.9999992718896556
“: Porque o caminho democrático para o fora Dilma é o Temer assumir o governo.” Isso sim é renovação ,ironia,ironia,0.999999277555851
 pros falsos...,ironia,ironia,0.9999992718896556
 faltou o  no final,ironia,ironia,0.9999992661790196
Mathieu que grande  ,ironia,ironia,0.9999992690399144
Consumidor que pagar à vista terá direito a desconto  Economia,n_ironia,n_ironia,0.0012448433020883
Hahaha a notícia de DiCaprio em Trancoso foi uma bela barriga ,ironia,ironia,0.9999992690399142
"Bolsa sobe, dólar recua, agência retira nota negativa da Petrobras: o país praticamente à beira do caos. ",ironia,ironia,0.9999989488503112
"Minha mãe: eu vou ironizar, vou fazer uma ironia ironizar ",ironia,ironia,0.9999992747282868
"diálogo ontem com a mae: ""ta mas não o fim do mundo não ir pra praia"" e eu: ""é sim, amanhã"". após um loading, ela tem um ataque de risos",ironia,ironia,0.999999277555851
"De fome não morro! icicestparis precosiguaisaobrasil   Paris,… ",ironia,ironia,0.9999992775558512
 ohhh clarinhaaaa TadinhAA ela é uma pessoa tão boa rs ,ironia,ironia,0.999999280372392
"AVISO IMPORTANTE... TEXTO CARREGADO DE  . Assunto da semana... Maju, a Globeleza que foi... ",ironia,ironia,0.9999992517057084
