text,labels,predictions,probabilities,pred_comb
Aquele momento que o gato preto volta pra não cruzar o seu caminho ,ironia,ironia,0.9999992487769694,ironia
"Marcelo Oliveira pode estar poupando Matheus Sales para encarar o Santos, de Lucas Lima. ",ironia,ironia,0.9999992096437472,ironia
São Paulo caindo de pé como um bom perdedor. ,ironia,ironia,0.9999992661790196,ironia
claro que foi....,ironia,ironia,0.9999992690399142,ironia
ciúme comigo é na base da .,ironia,ironia,0.9999992747282866,ironia
A  me ajudando a escolher tirar uma soneca depois do almoço do que assistir algo na  .IstoNãoFoiUmElogio ,ironia,ironia,0.999999283177952,ironia
Que pé lindo  askbelieber,ironia,ironia,0.9999992718896556,ironia
Felps é pouco feio!  Mtogato VMAs VoteDNCE,ironia,ironia,0.9999992633069276,ironia
"  A isso no Brasil, damos o nome de meritocracia"". """,ironia,ironia,0.9999992458367678,ironia
Copom reduz juros básicos da Economia ao menor nível em três anos .Veja mais detalhes no site.   Notícias,n_ironia,n_ironia,0.0012448433020883,n_ironia
 deixa de ser coxinha Arthur... kkkkkkkk É pra manifestar a favor da democracia... KKKKKKKKKKKKK ,ironia,ironia,0.9999992747282868,ironia
"Com inovação em serviços, Correios buscam saldo positivo em 2017  economia",n_ironia,n_ironia,0.0012448433020883,n_ironia
"Dá licença, vou ali tomar meu Chandon. ",ironia,ironia,0.9999992690399142,ironia
" por isso uso o hahaha"". """,ironia,ironia,0.9999992718896554,ironia
 10 motivos para não ir nos Jogos Paralímpicos: ,ironia,ironia,0.9999992096437474,ironia
Ia ser cá um show ui  ,ironia,ironia,0.9999992633069276,ironia
"LFV: A razão não está do lado de quem grita mais! De quem fala mais, de quem escreve mais!"" mindfucklampião paradoxo """,ironia,ironia,0.9999992775558508,ironia
Mais um sinal positivo da nossa economia:  exportação importação superávit ministério balança dólar déficit,n_ironia,n_ironia,0.0012448433020883,n_ironia
Que dia tao bom :) ,ironia,ironia,0.9999992718896554,ironia
"Economia INE confirma crescimento de 2,8%  Em ",n_ironia,n_ironia,0.0012448433020883,n_ironia
O Mercado sempre ferrando o Brasil. ,ironia,ironia,0.9999992803723916,ironia
"A música é tão horrível"" que estreou entre as 20 mais da  (18)... Por Favor.  """,ironia,ironia,0.9999992718896554,ironia
Tudo me acontece hj fogo ! Um ótimo primeiro dia de férias sem dúvida ! ,ironia,ironia,0.999999277555851,ironia
Este fim de semana foi um espetáculo ,ironia,ironia,0.9999992428850588,ironia
Parabéns   ,ironia,ironia,0.9999992517057082,ironia
Le sigarette e il fumo (n=365)drzap ridere umorismo humour humor battute freddure  buonumore,ironia,ironia,0.9999992718896554,ironia
Consulta ao IR começa nesta quinta-feira   ir impostoderenda economia folhape,n_ironia,n_ironia,0.0012472739770557,n_ironia
"mas o CUnha, Cabral, Eike... e alguns outros que ainda estão soltos... para pra tirar foto.... pessoas de bem.... ",ironia,ironia,0.9999992803723918,ironia
Nem senti   ,ironia,ironia,0.9999992517057082,ironia
Meu problema com o sono é que eu não consigo dormir e nem consigo acordar !! ,ironia,ironia,0.9999992718896556,ironia
PequenasInterrogações o acordo ortográfico já está em vigor não é? P.S. Aquilo foi  mas não levem a mal. ,ironia,ironia,0.9999992718896554,ironia
  teneis mas punteria que Bale !  ElHumor,ironia,ironia,0.9999992661790196,ironia
Esperando a marcelo lagos... velaton  tembleque tiriton... perdoncomiporotos,ironia,ironia,0.9999992718896556,ironia
" com certeza, o MPF será lembrado por ter levado Lula à cadeia....",ironia,ironia,0.9999992803723918,ironia
Nada me deixa mais feliz do que a velocidade da internet do escritório ,ironia,ironia,0.9999992428850588,ironia
RT @Gustavollei: Prévia do fim do mundo em São Paulo??,ironia,ironia,0.9999992633069276,ironia
  É série nova? Já tem legenda? ;) ,ironia,ironia,0.9999992633069276,ironia
" Ahhh tá, agora sim, tudo faz sentido. Poxa não gosto de livro velho u_ú ",ironia,ironia,0.999999277555851,ironia
Vão dizer que essa água é artificial ,ironia,ironia,0.9999992775558508,ironia
otimo amigo nao haja dúvida! ! ,ironia,ironia,0.9999992803723918,ironia
dumping! Obriguem a vender a preço de custo!  ,ironia,ironia,0.9999992690399142,ironia
"Esses dias vi um casal hétero na Praça. Nada contra, mas não sou obrigado a aturar certas coisas ",ironia,ironia,0.9999992690399142,ironia
Minhas falsianessss  calmaflor soieu   Casa da Vó Ana  ,ironia,ironia,0.9999992690399144,ironia
"Já estou começando a ficar preocupado, uma vez que, até agora o Alexandra Mattos não contratou ninguém. protesto acordamattos ",ironia,ironia,0.999999283177952,ironia
 desafio enorme!!! quase não tem lucro ,ironia,ironia,0.9999992859725744,ironia
Ironias desse mundo desigual... desigualdade  pobreza solidariedade fome ,ironia,ironia,0.9999992633069276,ironia
"Eu odeio corrupção, mas deixa eu só sonegar os meus impostos aqui. ;)  ",ironia,ironia,0.999999277555851,ironia
Agora só nos resta evoluir e fazer fotossíntese já que tudo que temos pra comer faz mal :(saude  sofrerpraque,ironia,ironia,0.9999992747282868,ironia
"Tão opotuna essa preocupação do STF (Gilmar Mendes) com o detento lá de Piauí,  que está há 11 anos preso provisoriamente. ",ironia,ironia,0.9999992718896556,ironia
E se esse jogo fosse pro terceiro set?  como sempre respeitando muito o cliente ,ironia,ironia,0.9999992775558508,ironia
Queria te beijar as vezes sempre . hahaha ,ironia,ironia,0.999999277555851,ironia
"tô morrendo de alergia"" se parece muito com ""tô morrendo de alegria"" """,ironia,ironia,0.9999992747282868,ironia
" Recomendado! Vídeo oficial de Ironía de  , tercer sencillo de CamaIncendiada.  ",ironia,ironia,0.9999992575289764,ironia
"Ai vc se mata pra chegar no fim do curso, pro coordenador inhônhô não deixar fazer estágio, que vida boa!",ironia,ironia,0.9999992859725744,ironia
O POBRE JÁ TÁ PROIBIDO DE ANDAR DE AVIÃO?  (tem que avisar né),ironia,ironia,0.9999992775558512,ironia
"Afinal o relacionamento"" dele é oq faz faz gente amar ele tanto não é  """,ironia,ironia,0.9999992718896556,ironia
“: Porque o caminho democrático para o fora Dilma é o Temer assumir o governo.” Isso sim é renovação ,ironia,ironia,0.999999277555851,ironia
 pros falsos...,ironia,ironia,0.9999992718896556,ironia
 faltou o  no final,ironia,ironia,0.9999992661790196,ironia
Mathieu que grande  ,ironia,ironia,0.9999992690399144,ironia
Consumidor que pagar à vista terá direito a desconto  Economia,n_ironia,n_ironia,0.0012448433020883,n_ironia
Hahaha a notícia de DiCaprio em Trancoso foi uma bela barriga ,ironia,ironia,0.9999992690399142,ironia
"Bolsa sobe, dólar recua, agência retira nota negativa da Petrobras: o país praticamente à beira do caos. ",ironia,ironia,0.9999989488503112,ironia
