text,prediction,pred_gpt4o
Aquele momento que o gato preto volta pra não cruzar o seu caminho ,1,ironia
"Marcelo Oliveira pode estar poupando Matheus Sales para encarar o Santos, de Lucas Lima. ",1,n_ironia
ECONOMIAALERTANÃO! QUEIRAM ASSISTIR O MAIOR ESCOAMENTO FINANCEIRO MUNDIALQUEREMOS! UM BRASIL PARA TODOS!DiretasJÁ!,0,n_ironia
São Paulo caindo de pé como um bom perdedor. ,1,ironia
claro que foi....,1,ironia
¡Qué afortunado cúmulo de casualidades! IroníaLaBellayLaBestia,1,ironia
ciúme comigo é na base da .,1,n_ironia
A  me ajudando a escolher tirar uma soneca depois do almoço do que assistir algo na  .IstoNãoFoiUmElogio ,1,ironia
Que pé lindo  askbelieber,1,n_ironia
Felps é pouco feio!  Mtogato VMAs VoteDNCE,1,ironia
"  A isso no Brasil, damos o nome de meritocracia"". """,1,ironia
Copom reduz juros básicos da Economia ao menor nível em três anos .Veja mais detalhes no site.   Notícias,0,n_ironia
 deixa de ser coxinha Arthur... kkkkkkkk É pra manifestar a favor da democracia... KKKKKKKKKKKKK ,1,ironia
"Boa a marcação das linhas do campo, da para ver bem direitinho onde começa a área e termina ela. ",1,ironia
"Com inovação em serviços, Correios buscam saldo positivo em 2017  economia",0,ironia
"Dá licença, vou ali tomar meu Chandon. ",1,ironia
" por isso uso o hahaha"". """,1,n_ironia
 10 motivos para não ir nos Jogos Paralímpicos: ,1,ironia
Ia ser cá um show ui  ,1,ironia
"LFV: A razão não está do lado de quem grita mais! De quem fala mais, de quem escreve mais!"" mindfucklampião paradoxo """,1,n_ironia
Mais um sinal positivo da nossa economia:  exportação importação superávit ministério balança dólar déficit,0,ironia
"Galicia, Economía | Galicia rexistra no primeiro cuadrimestre un incremento no volume de pernoitas e viaxeiros... ",0,n_ironia
Que dia tao bom :) ,1,ironia
"Economia INE confirma crescimento de 2,8%  Em ",0,n_ironia
Essa apresentadora do fantástico (que não assisto há anos por isso não sei nome) é quase o clone da claudia cruz-cunha ,1,ironia
O Mercado sempre ferrando o Brasil. ,1,ironia
"A música é tão horrível"" que estreou entre as 20 mais da  (18)... Por Favor.  """,1,ironia
Tudo me acontece hj fogo ! Um ótimo primeiro dia de férias sem dúvida ! ,1,ironia
Este fim de semana foi um espetáculo ,1,ironia
Parabéns   ,1,ironia
Le sigarette e il fumo (n=365)drzap ridere umorismo humour humor battute freddure  buonumore,1,n_ironia
Consulta ao IR começa nesta quinta-feira   ir impostoderenda economia folhape,0,n_ironia
"mas o CUnha, Cabral, Eike... e alguns outros que ainda estão soltos... para pra tirar foto.... pessoas de bem.... ",1,ironia
Nem senti   ,1,ironia
Meu problema com o sono é que eu não consigo dormir e nem consigo acordar !! ,1,ironia
PequenasInterrogações o acordo ortográfico já está em vigor não é? P.S. Aquilo foi  mas não levem a mal. ,1,n_ironia
  teneis mas punteria que Bale !  ElHumor,1,ironia
Esperando a marcelo lagos... velaton  tembleque tiriton... perdoncomiporotos,1,n_ironia
Não é golpe! É apenas vontade popular ,1,ironia
" com certeza, o MPF será lembrado por ter levado Lula à cadeia....",1,ironia
Nada me deixa mais feliz do que a velocidade da internet do escritório ,1,ironia
Cada vez mais brasileiros largam tudo para começar do zero no exterior  economia,0,n_ironia
NH Hoteles crecerá moderadamente  por  economía ,0,n_ironia
RT @Gustavollei: Prévia do fim do mundo em São Paulo??,1,ironia
  É série nova? Já tem legenda? ;) ,1,ironia
" Ahhh tá, agora sim, tudo faz sentido. Poxa não gosto de livro velho u_ú ",1,ironia
a ironia de ver pessoal amigo dos animais revoltado com a chamada de atenção para o facto dos caracóis serem cozidos vivos,1,ironia
Vão dizer que essa água é artificial ,1,ironia
otimo amigo nao haja dúvida! ! ,1,ironia
dumping! Obriguem a vender a preço de custo!  ,1,ironia
"Esses dias vi um casal hétero na Praça. Nada contra, mas não sou obrigado a aturar certas coisas ",1,ironia
Minhas falsianessss  calmaflor soieu   Casa da Vó Ana  ,1,ironia
"Já estou começando a ficar preocupado, uma vez que, até agora o Alexandra Mattos não contratou ninguém. protesto acordamattos ",1,n_ironia
a volte rimane solo l'  ,1,n_ironia
 Ajá!!! Seguro ironía,1,ironia
O BlogAssaíBonsNegócios serpenteia pela diversidade do Pará! Confira:  Assaí Jambú Economia ,0,n_ironia
 desafio enorme!!! quase não tem lucro ,1,ironia
Ironias desse mundo desigual... desigualdade  pobreza solidariedade fome ,1,n_ironia
"Eu odeio corrupção, mas deixa eu só sonegar os meus impostos aqui. ;)  ",1,ironia
Agora só nos resta evoluir e fazer fotossíntese já que tudo que temos pra comer faz mal :(saude  sofrerpraque,1,ironia
"Após a , a notícia de O Bobo fica assim:  EconomiaGolpeNoBrasil",0,n_ironia
Economia: Pequenas empresas contrataram 60% mais que grandes em 2016 ,0,n_ironia
"Tão opotuna essa preocupação do STF (Gilmar Mendes) com o detento lá de Piauí,  que está há 11 anos preso provisoriamente. ",1,ironia
E se esse jogo fosse pro terceiro set?  como sempre respeitando muito o cliente ,1,ironia
Queria te beijar as vezes sempre . hahaha ,1,ironia
Zara pagará R$ 5 mi por descumprir acordo com Ministério Público  economia,0,n_ironia
"tô morrendo de alergia"" se parece muito com ""tô morrendo de alegria"" """,1,n_ironia
"  Bom Dia provedores de Internet, quero dizer que se houver redução de internet vcs não teram mais meu bom dia ",1,ironia
" Recomendado! Vídeo oficial de Ironía de  , tercer sencillo de CamaIncendiada.  ",1,n_ironia
"Ai vc se mata pra chegar no fim do curso, pro coordenador inhônhô não deixar fazer estágio, que vida boa!",1,ironia
Medida vai colocar limiteao trabalho intermitente  economia,0,n_ironia
O POBRE JÁ TÁ PROIBIDO DE ANDAR DE AVIÃO?  (tem que avisar né),1,ironia
Congresso Nacional cria Frente Parlamentar de Economia Digital  brasilpaisdigital,0,n_ironia
"Afinal o relacionamento"" dele é oq faz faz gente amar ele tanto não é  """,1,ironia
“: Porque o caminho democrático para o fora Dilma é o Temer assumir o governo.” Isso sim é renovação ,1,ironia
 pros falsos...,1,ironia
"Economia e Capitalismo: Segundo o governo, PIB do 1º trimestre será positi...  economia Brasil IBGE",0,ironia
"progressistas  RT  Negros contra cotas, mulher machista, gay homofóbico. Me dá tão nos nervo: só umas palmada educaria.",1,ironia
 faltou o  no final,1,n_ironia
Ah que saudade dessas aventuras que deram em tragédia. ,1,ironia
Mathieu que grande  ,1,n_ironia
