	text	prediction
0	Aquele momento que o gato preto volta pra não cruzar o seu caminho 	1
1	Marcelo Oliveira pode estar poupando Matheus Sales para encarar o Santos, de Lucas Lima. 	1
2	ECONOMIAALERTANÃO! QUEIRAM ASSISTIR O MAIOR ESCOAMENTO FINANCEIRO MUNDIALQUEREMOS! UM BRASIL PARA TODOS!DiretasJÁ!	0
3	São Paulo caindo de pé como um bom perdedor. 	1
4	claro que foi....	1
5	¡Qué afortunado cúmulo de casualidades! IroníaLaBellayLaBestia	1
6	ciúme comigo é na base da .	1
7	A  me ajudando a escolher tirar uma soneca depois do almoço do que assistir algo na  .IstoNãoFoiUmElogio 	1
8	Que pé lindo  askbelieber	1
9	Felps é pouco feio!  Mtogato VMAs VoteDNCE	1
10	"  A isso no Brasil, damos o nome de meritocracia"". """	1
11	Copom reduz juros básicos da Economia ao menor nível em três anos .Veja mais detalhes no site.   Notícias	0
12	 deixa de ser coxinha Arthur... kkkkkkkk É pra manifestar a favor da democracia... KKKKKKKKKKKKK 	1
13	Boa a marcação das linhas do campo, da para ver bem direitinho onde começa a área e termina ela. 	1
14	Com inovação em serviços, Correios buscam saldo positivo em 2017  economia	0
15	Dá licença, vou ali tomar meu Chandon. 	1
16	" por isso uso o hahaha"". """	1
17	 10 motivos para não ir nos Jogos Paralímpicos: 	1
18	Ia ser cá um show ui  	1
19	"LFV: A razão não está do lado de quem grita mais! De quem fala mais, de quem escreve mais!"" mindfucklampião paradoxo """	1
20	Mais um sinal positivo da nossa economia:  exportação importação superávit ministério balança dólar déficit	0
21	Galicia, Economía | Galicia rexistra no primeiro cuadrimestre un incremento no volume de pernoitas e viaxeiros... 	0
22	Que dia tao bom :) 	1
23	Economia INE confirma crescimento de 2,8%  Em 	0
24	Essa apresentadora do fantástico (que não assisto há anos por isso não sei nome) é quase o clone da claudia cruz-cunha 	1
25	O Mercado sempre ferrando o Brasil. 	1
26	"A música é tão horrível"" que estreou entre as 20 mais da  (18)... Por Favor.  """	1
27	Tudo me acontece hj fogo ! Um ótimo primeiro dia de férias sem dúvida ! 	1
28	Este fim de semana foi um espetáculo 	1
29	Parabéns   	1
30	Le sigarette e il fumo (n=365)drzap ridere umorismo humour humor battute freddure  buonumore	1
31	Consulta ao IR começa nesta quinta-feira   ir impostoderenda economia folhape	0
32	mas o CUnha, Cabral, Eike... e alguns outros que ainda estão soltos... para pra tirar foto.... pessoas de bem.... 	1
33	Nem senti   	1
34	Meu problema com o sono é que eu não consigo dormir e nem consigo acordar !! 	1
35	PequenasInterrogações o acordo ortográfico já está em vigor não é? P.S. Aquilo foi  mas não levem a mal. 	1
36	  teneis mas punteria que Bale !  ElHumor	1
37	Esperando a marcelo lagos... velaton  tembleque tiriton... perdoncomiporotos	1
38	Não é golpe! É apenas vontade popular 	1
39	 com certeza, o MPF será lembrado por ter levado Lula à cadeia....	1
40	Nada me deixa mais feliz do que a velocidade da internet do escritório 	1
41	Cada vez mais brasileiros largam tudo para começar do zero no exterior  economia	0
42	NH Hoteles crecerá moderadamente  por  economía 	0
43	RT @Gustavollei: Prévia do fim do mundo em São Paulo??	1
44	  É série nova? Já tem legenda? ;) 	1
45	 Ahhh tá, agora sim, tudo faz sentido. Poxa não gosto de livro velho u_ú 	1
46	a ironia de ver pessoal amigo dos animais revoltado com a chamada de atenção para o facto dos caracóis serem cozidos vivos	1
47	Vão dizer que essa água é artificial 	1
48	otimo amigo nao haja dúvida! ! 	1
49	dumping! Obriguem a vender a preço de custo!  	1
50	Esses dias vi um casal hétero na Praça. Nada contra, mas não sou obrigado a aturar certas coisas 	1
51	Minhas falsianessss  calmaflor soieu   Casa da Vó Ana  	1
52	Já estou começando a ficar preocupado, uma vez que, até agora o Alexandra Mattos não contratou ninguém. protesto acordamattos 	1
53	a volte rimane solo l'  	1
54	 Ajá!!! Seguro ironía	1
55	O BlogAssaíBonsNegócios serpenteia pela diversidade do Pará! Confira:  Assaí Jambú Economia 	0
56	 desafio enorme!!! quase não tem lucro 	1
57	Ironias desse mundo desigual... desigualdade  pobreza solidariedade fome 	1
58	Eu odeio corrupção, mas deixa eu só sonegar os meus impostos aqui. ;)  	1
59	Agora só nos resta evoluir e fazer fotossíntese já que tudo que temos pra comer faz mal :(saude  sofrerpraque	1
60	Após a , a notícia de O Bobo fica assim:  EconomiaGolpeNoBrasil	0
61	Economia: Pequenas empresas contrataram 60% mais que grandes em 2016 	0
62	Tão opotuna essa preocupação do STF (Gilmar Mendes) com o detento lá de Piauí,  que está há 11 anos preso provisoriamente. 	1
63	E se esse jogo fosse pro terceiro set?  como sempre respeitando muito o cliente 	1
64	Queria te beijar as vezes sempre . hahaha 	1
65	Zara pagará R$ 5 mi por descumprir acordo com Ministério Público  economia	0
66	"tô morrendo de alergia"" se parece muito com ""tô morrendo de alegria"" """	1
67	  Bom Dia provedores de Internet, quero dizer que se houver redução de internet vcs não teram mais meu bom dia 	1
68	 Recomendado! Vídeo oficial de Ironía de  , tercer sencillo de CamaIncendiada.  	1
69	Ai vc se mata pra chegar no fim do curso, pro coordenador inhônhô não deixar fazer estágio, que vida boa!	1
70	Medida vai colocar limiteao trabalho intermitente  economia	0
71	O POBRE JÁ TÁ PROIBIDO DE ANDAR DE AVIÃO?  (tem que avisar né)	1
72	Congresso Nacional cria Frente Parlamentar de Economia Digital  brasilpaisdigital	0
73	"Afinal o relacionamento"" dele é oq faz faz gente amar ele tanto não é  """	1
74	“: Porque o caminho democrático para o fora Dilma é o Temer assumir o governo.” Isso sim é renovação 	1
75	 pros falsos...	1
76	Economia e Capitalismo: Segundo o governo, PIB do 1º trimestre será positi...  economia Brasil IBGE	0
77	progressistas  RT  Negros contra cotas, mulher machista, gay homofóbico. Me dá tão nos nervo: só umas palmada educaria.	1
78	 faltou o  no final	1
79	Ah que saudade dessas aventuras que deram em tragédia. 	1
80	Mathieu que grande  	1
81	Agora que tenho 1000 seguidores, minha vida finalmente ganhou um significado    TwitteiroAnonimoReidoSdv	1
82	Pesquisa: diferença de 800% em medicamentos no interior e litoral de SP  economia	0
83	  hahahahahah me voy a dormir q te peteeen	1
84	Consumidor que pagar à vista terá direito a desconto  Economia	0
85	Hahaha a notícia de DiCaprio em Trancoso foi uma bela barriga 	1
86	Bolsa sobe, dólar recua, agência retira nota negativa da Petrobras: o país praticamente à beira do caos. 	1
87	Minha mãe: eu vou ironizar, vou fazer uma ironia ironizar 	1
88	"diálogo ontem com a mae: ""ta mas não o fim do mundo não ir pra praia"" e eu: ""é sim, amanhã"". após um loading, ela tem um ataque de risos"	1
89	De fome não morro! icicestparis precosiguaisaobrasil   Paris,… 	1
