text	prediction
Tem coisas bem mais importantes acontecendo em Brasília  	1
Quando a vida me desafia, eu coloco meu colete à prova da inveja, passo meu batom da , coloco o... 	1
Agora vai, hein!?  	1
E o fim do mundo?? kkk'	1
Como que tua ex-chefe te manda mensagem dizendo 'Saudade', sendo que foi ela que te mandou embora? hahaha 	1
Então tá tudo bem. Pelo que entendi, não pode deitar 'montado' (como se fosse mulher) risos 	1
Eu acho tão lindo essas amizades q só funcionam em tempos felizes,  	1
"No Brasil é assim quando um pobre rouba vai pra cadeia, mas quando rico rouba, vira Ministro!"" Lula em 1988 """	1
Economia: PF deflagra operação em SP contra fraudes no IR 	0
 The Guardian, CNN, The New York times, The Telegraph,  falaram essa falsa tragédia, afinal eles precisam fazer isso né? 	1
Orgulho dos meus amigos que trabalham no feriado. Sem vocês o país estaria parado.  feriado weekend	1
A professora e sempre a última a chegar kkk 	1
Vamos começar a apontar a intenção do tweet pro povo sacar usando tags tipo  . Tem que facilitar pra zebuzada.	1
BC não sinalizou quebra no ciclo de corte de juros, diz Meirelles  economia	0
"Olha a onda"" em Alvalade, já com Barcos em campo. """	1
É mesmo ? Cara se vc n me fala-se eu nem ia notar. 	1
@Ariadne_Martins isso e suruba, não e o fim do mundo rsrsrs ou 'e???	1
Só fui à escola para ter uma aula de manhãzinha e ao final da tarde, adoro 	1
O sócio torcedor vai continuar crescendo,  a torcida vai lotar o estádio vamos ser campeões ..... 	1
que  do destino não poder beijar te .kkkk de gorro sem camisola  Paço de Arcos 	1
fiquei carente  	1
Vcs não tem idéia de quanto amor, carinho, gentileza e respeito no modo de tratar o próximo impera no grupo MonstrasSA 	1
Ahahahaha Geniale! ! 	1
To ligado. Espero que o Sampaoli não coloque o Ganso pra marcar o Marcelo denovo. 	1
PEÇA JÁ O SEU, É RÁPIDO E FÁCIL!economiafacilidade  Tianguá 	0
Acho que o sonho de qualquer Palmeirense é sediar um jogo olímpico no Allianz Parque   	1
com esse calor quem consegue viver sem sorvete?? Kkkkkkk 	1
Que pena me da Messi. ironía	1
"Encenterment"": o contrario de empowerment. Muito melhor e mais eficaz. Principalmente em cenários complexos.  InventandoPalavra """	1
  Patético? Verdadeiro! Agora estamos salvos. 	1
Economia.Após quatro horas, Câmara aprova MP que libera FGTS de contas inativas 	0
Colagem e croquis!  moda croqui arte laboratório criatividade   UCS Campos 8 	1
E quem imaginou que o túnel da Abolição ia alagar, não é? Eu mesmo tô surpreso... 	1
  Te falta  	1
Maior mentira desta vida!FiltroRise  	1
72 horas sem whats até vai, mas 3 dias não !!!  rt	1
Devagar, mas crescendo.PWA Economia 	0
Ha tá, fiz concurso, passei então não tenho q pedir favorzinho, por isso não sou honesto, honesto é político  	1
Dar uma robadinha contra o Corinthians de vez em quando (uma vez a cada 5 anos) também pode!  Corinthians futebol	1
Depois os paulistas querem falar mal dos nordestinos falando que vivemos na seca, e hoje tão fazendo festa porque está chovendo 	1
O que dizer sobre essa sexta-feira com animação de domingo? 	1
Calma Rafalso logo mais você estará com a sua Talitinha ;) Falta pouco! Calma!  hahaha ForaRafael BBB15	1
Ufa! Achei que algum crime tinha ocorrido em zona nobre. Então corre tudo normal, vai pras estatísticas.  	1
proxima vez ele pergunta antes se ela gosta de elogios 	1
  e  é outra coisa. Falta se informar. Até.	1
To seguindo 666 pessoas...kkkkkk'  medo capiroto	1
Conselho vai revisar CLT e texto da reforma  economia	0
Legal esses seus amigos árabes que curtem suas fotos , conheceu eles aonde ? 	1
Havia de vir o Reagan outra vez despedir essa gente toda  pessoasComecemAPerceberIronia	1
"Fatos modernos: um amigo posta sobre a morte de um ente querido e a besta acha por bem clicar em curtir"". deprimente """	1
A ciencia tem uma questão para estudar! O 'figado humano falando'. Grupo para estudo: 'jornalista' esportivo falando de  	1
Você Aí Me Odiando E Eu Aqui Nem Sabendo Que Você Existe... 󾍃󾍃󾍃󾍃󾍃󾍃󾍃󾍃󾍃󾍃󾮊	1
Tem gente que não entendeu a ironia... Burro eu, esqueci dá  	1
Há gente realmente muito simpática e compreensiva 	1
Não é que as coisas estavam caras no João Rock pessoal, é que as Baquetas moeda local que está em desvalorização :/ JOÃOROCK 	1
Governo monitora possíveis protestos em julgamento da chapa Dilma-Temer  Politica Brasil Economia 	0
Só isso a dizer! Boanoiteminhagente mulher dama poder  sejamaisvc seache solsincera… 	1
puts e osso mesmo kkkk  kkkkk  	1
Aproveite a Black Friday para comprar tudo pela metade do dobro do preço! É uma boa. Vai por mim!Brasil	1
Esqueci o selo   	1
Nosso povo é um povo sabido. 	1
MotoGP in Francia prove maiuscole in FP1,2,3 per JorgeLorenzo seguito da AndreaDovizioso quindi si prevede grande gara di VR46 . 	1
 Agora entendi Dilminha, obgada por esclarecer as coisas 	1
 sendo  Uma galinha q canta de galo, nossa ñ podia dormir sem essa... --'  TavaDemorando	1
 o bom e perceber como voces acertam nas previsoes 	1
No te cabe na... ironía 	1
PREÇO DA GASOLINA: valor pode ser ... .Veja mais detalhes no site.   Brasil Economia…	0
Sinto intensamente seu calor no meu colo e sobre minhas pernas. Vê se esfria, notebook. 	1
 Gostaria de saber quem teve essa brilhante ideia  ChacinaGuamá	1
O Ze da casa dos segredos meteu conversa comigo, será que já tenho oportunidade de entrar ?  DesafioFinal	1
Os sistemas solares para geração de eletricidade e aquecimento de água da JOVIC são uma forma inteligente de reduzir seus gastos economia 	0
TamanhoFamilia Calabresa no instante acertou a música dos $50 kkkkkkkkkkkk 	1
Bonolis cade a Ciao Darwin: é rigore per la Juve ciaodarwin 	1
Economia Luz Saúde compra British Hospital  Em 	0
Só vim aqui para declarar a minha felicidade por estudar ciência LadydeCascais 	1
"A UPP da Rocinha foi inaugurada em setembro de 2012. Logo, deveria se tratar de uma favela pacificada"". Afinal, a UPP é um sucesso! """	1
Sobre homem defendendo os estupradores da adolescente do Rio: Leva pra casa e adote. 	1
 como assim? Se não fosse o PT não tinha UFC no Brasil. 	1
Ironias da vida: Brasil vence a Nigéria no basquete e agora tem que torcer pela Argentina pra passar.  Olympics basketball	1
só é crime qdo praticado por quem n é amigo, quem n da carona de avião etc. Pelo menos ele é coerente. 	1
Ho publica 4/4/16 i  6/4/16 plagi copiar copyright drets    .twitter.com/ab6XsOesWM	1
  Uber não pode aqui, táxi sim...  Lavagem$	1
Economia: Copom reduz juros básicos para 10,25%, menor nível em 3 anos 	0
RT @O_Kubiaki: Festa dos amigos de fim do mundo, Indiada de fim do mundo, Sarau do fim do mundo, na boa acho que não vou em nenhum desses eventos.	1
se calhar faltou o 	1
Supermercados: Consumidor goiano aproveita promoções em inaugurações   Economia Atacarejos Consumidor	0
Passando pra dizer que temos um país maravilhoso, digno de se viver. Então viva a reeleição. 	1
Nesse programa de cantores que minha irmã resolveu assistir hoje, alguém tinha mesmo que cantar Halo? -_- 	1
"SÉRIO MESMO? O rapaz aqui é gente boa, só está utilizando de seus direitos como homem comedor. Paga aí uma multinha e vai na paz"" """	1
Cunha, Garotinho e Sérgio Cabral presos. Evidentemente é encenação pra legitimar a prisão do Lula guerreiro do povo brasileiro 	1
Sofia e suas sacadas...  tirandoonda lulusantos pegadinha rá sacanagem boatarde 	1
"Engraçado: o aidar não queria ser Rainha da Inglaterra"" no SPFC e acabou sendo tirado pra ""Luis XVI"". youmad """	1
 Kerido, vc foi pra casa da fã e nem avisou para o pessoal hein.   	1
 do mesmo jeito q a Dilma não era o Lula 	1
***Ironia? Suzane Von Richthofen deixa prisão no Dia dos Pais* 	1
A melhor maneira de aproveitar a vida é ouvir um belo funk. Ou axé também. Let's go, Popozuda!!! 	1
The latest Diário Míriam Martinho!  Thanks to  rivalcir economia	0
Daí chove e vc fica sem tv e com a internet lentíssima! Obrigada GVT 	1
Bonita nv me espera.... ironía	1
Fazendo uma pose meio tumblrgirl pra ver se ganho curtidas 󾍊󾍊󾍊󾍊󾍊 zuera  󾬏󾬏 Já viram que tem vídeo novo... 	1
"Vai ver a padaria é portuguesa mas eles só servem ''scones'', muffins'', ""brownies"" e por aí vai...."""	1
FOCUS 22/05/2017IPCA variou de 3,93% para 3,92%. A expectativa é que situe abaixo do centro da meta de 4,5%. Economia FOCUS IPCA	0
Bah! Alan Ruiz não jogou nada hoje... 	1
Mas que coisa tão estranha 	1
Economia: Após acordo, votação da reforma trabalhista será na terça 	0
hauahauahau ela vai gamar qndo souber q jogo cs ata kkkkk 	1
Tai um cara a frente do seu tempo. Credo  Sqn	1
MARINGÁ ENTRETENIMENTO NEWS já saiu!  Divulgue por favor.  política economia	0
Estes manifestantes tirando o direito de ir e vir...ops!  	1
Decisão madura;;;  	1
 vcs sao grandes traidores e sao todos baixinhos 	1
 é comprar um carro elétrico para não poluir, e carregar com energia térmica ou nuclear Greenpeace	1
mas não tem triplex então nada de escândalo no Fantástico 	1
Emprego muitos podem até ter, mais trabalho pra algumas pessoas anda faltando, porque pra cuida da vida alheia tem tempo.pensativa 	1
"A segregação é para poucos"". """	1
Agencia Tributaria...Viñetas Humor Crítica Ironía 	1
 acho isso um puta absurdo, o Cúnha tá solto vão atrás dos perigosos do MEGA que prejudicaram milhares de pessoas né 	1
"RT @biason_: ""hahahahahaha fim do mundo hahahahahaha"" NAO TEM GRAÇA PORRA"	1
É tudo armação pra favorecer o , só não vê quem não quer...  (bom avisar pra evitar treta) 	1
Como está a repercussão da matéria da Revista Piauí sobre o Kassab pagar a Jovem Pan por apoio? 	1
Seleção brasileira precisa de um goleiro? César Martins está aí... 	1
Puok Napoli Napoletani e Impresa - Tra Criminalità e News e approfondimenti: 	1
Venda de automóveis novos cresce 16,8% em maio, diz Anfavea  economia	0
Corrupção em postos de gasolina no Paraná e no Tribunal de (faz de) Contas do RJ? Nossa, que surpresa! 	1
Acordar com o funk do vizinho: não há jeito melhor para saudar esse dia lindo . Queria star morta	1
Brasileiros já pagaram este ano R$ 900 bilhões de impostos e taxas | Economia |   via 	0
Meirelles diz que Brasil vive clima de pessimismo exagerado na economia  economia	0
Sabe de nada... cabeleiraempe lowpoo nopoo cabelo semsulfato shampoo kkk  toleranciazero cabelooleo…	1
Nossa qq dlç em hoje eh segunda-feira 	1
Mentira absurda! Cunha é herói do impechment, do cidadão de bem e do . Corruptos vagabundos são os do PT.  	1
  fofo	1
Gente existe corrupção antes de 2002, pensei que isso era só coisa do PT. HAHAHAHAHAHAHAHAHHAHAHAHAHAHAHAHA 	1
O video foi retirado que Peninha Ahn tadinho kkkkkkk 	1
Agora,sempre q postar um coments irônico, vou escrever (ironia). Será que resolve? (Ironia)  maisreflexaoporfavor ticoetecodeferias	1
Em Goiás, desemprego cresce nos últimos três anos, avalia IBGE  Desemprego Goiás IBGE Economia 	0
"O café  é feito com muito carinho, mas acima de tudo com muito amor também."" Não é muito fofo?  MarketingAzia marketing"""	1
Calor  infernal, colica, emcasa, ferias sem passeio nem diversao, sozinha, com mil coisas para fazer, ComeceiBemOAno.. 	1
 que isso cara, Wilder vai suprir nossa necessidade.  	1
